V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V27,V28,V29,V30,V31,V37,V38,V39,V40,V41,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95
897.4,1046,882.2,781.6,719.5,46.57,41.19,53.5,45.96,43.24,0.769,51.02,83.29,123.9,178.7,219.5,2.485,0.9935,0.9877,1.313,2.386,2.926,2.051,1.272,0.8444,0.5874,16.39,36.79,25.6,19.25,15.05,37.16,25.21,19.26,14.88,1.306,27.84,5.728,-29.93,-40.33,-33.98,-17.84,-8.7,-9.314,-1.976,5.753,-0.05773,-9.643,-13.11,-14,-10.97,-8.157,-7.101,-0.9656,3.95,8.918,4.089,12.6,9.938,12.53,15.91,15.57,16.21,14.17,6.867,7.476,1.264,2.701,17.25,29.29
887.4,1051,888.2,779.9,728,46.84,41.26,53.57,46.25,43.46,0.6054,50.93,83.43,124.6,178.6,220.1,2.491,0.9898,0.9814,1.309,2.37,2.912,2.043,1.274,0.8447,0.5868,16.32,36.46,25.18,19.05,14.68,37.12,25.44,19.05,14.97,3.063,28.54,17.81,-20.91,-60.54,-56.7,-37.2,-26.65,-26.04,-18.9,-8.852,-9.711,-17.96,-21.2,-21.25,-15.19,-12.91,-4.773,3.959,5.397,11.12,9.103,19.03,22.58,24.7,24.35,22.2,25.18,24.41,14.43,14.34,18.79,22.36,27.3,30.3
888.4,1050,882.6,776.3,722.4,46.94,41.15,53.82,46.19,43.74,0.4827,50.88,83.01,124.8,178.4,220.2,2.492,0.9932,0.9834,1.311,2.373,2.906,2.046,1.266,0.8408,0.5847,16.24,35.71,24.91,18.98,14.4,36.92,25.14,19.53,14.95,4.219,22.91,3.572,-20.94,-42.44,-38.5,-27.06,-20.62,-19.81,-16.07,-9.441,-9.834,-15.48,-15.37,-14.38,-10.44,-8.861,-3.324,2.953,3.781,7.207,6.958,12.33,14.49,16.78,17.95,16.94,19.04,18.75,13.65,14.11,17.54,20.06,27.25,29.49
894.4,1046,884.5,774.2,717.8,47.01,41.23,53.65,46,43.77,0.5645,50.85,82.8,124.4,178.3,220.1,2.484,0.9888,0.9808,1.315,2.375,2.907,2.041,1.262,0.8404,0.5834,16.28,36.47,25.18,19.14,14.49,37.03,25.08,19.44,14.83,5.986,17.4,-6.131,-12.79,-13.11,-10.29,-4.255,-2.135,-2.017,-0.2676,2.5,0.7076,-3.42,-3.501,-4.039,-3.017,-2.296,-1.986,-0.3846,1.064,2.554,0.3382,3.016,1.512,1.948,4.734,4.882,5.031,4.481,2.666,1.019,-0.5151,-1.277,7.215,17.86
903.5,1049,884.8,773.3,719.8,47.09,41.27,53.61,45.88,43.49,0.5236,50.88,82.52,123.7,179.2,219.9,2.473,0.9806,0.9794,1.317,2.379,2.908,2.032,1.26,0.8375,0.5828,16.3,36.77,25.2,19.29,14.75,37.33,25.38,19.08,14.51,6.08,15.39,-6.356,-6.212,-3.992,-2.334,4.11,4.856,5.297,7.162,8.559,5.285,1.408,0.9296,-0.1926,-0.1802,-0.05606,-0.5214,-0.7738,0.8779,1.84,-1.528,-0.01917,-2.674,-3.178,-0.4237,-0.09829,-0.5799,-1.199,-3.13,-6.655,-9.152,-12.28,-4.906,9.51
900.4,1047,883,770.9,715.9,47.2,41.22,53.69,45.81,43.38,0.5645,50.93,82.11,124.1,179.7,220,2.473,0.9744,0.976,1.319,2.38,2.895,2.021,1.251,0.8335,0.5801,16.39,36.81,25.34,19.42,14.37,36.49,25.6,19.01,14.45,5.322,14.91,-6.209,-5.74,-3.914,-1.782,5.171,5.29,4.938,7.03,8.668,5.206,1.25,0.9561,0.005349,-0.2657,-0.08857,-0.3264,-0.7554,0.7794,1.71,-1.342,0.6982,-2.332,-3.031,-0.7058,-0.3424,-0.6465,-1.466,-3.392,-6.732,-9.431,-13.14,-5.708,8.275
895.3,1054,887.9,770.7,718.6,47.29,41.24,53.68,45.66,43.5,0.6054,51.13,82.44,123.7,179.5,220,2.472,0.9757,0.9739,1.32,2.382,2.888,2.023,1.258,0.836,0.5798,16.42,36.11,25.15,19.33,14.52,36.04,25.25,19,14.65,5.29,14.18,-5.497,-4.827,-3.544,-1.62,4.864,4.88,4.459,6.294,7.746,4.293,0.6246,0.8725,0.4366,0.4144,0.00875,-0.5162,-1.106,0.04301,0.9766,-1.826,1.376,-1.543,-2.107,-0.08388,-0.3607,-0.245,-1.277,-3.268,-6.149,-8.347,-12.54,-5.685,7.117
891.7,1050,886.2,769.3,707.4,47.21,41.28,53.75,45.5,45.01,0.4418,51,82.58,124.1,180.7,220,2.47,0.9737,0.9737,1.322,2.393,2.887,2.033,1.255,0.8339,0.5794,16.36,36.34,24.71,19.28,14.14,36.78,24.93,19.28,14.51,5.482,11.86,-7.287,-5.257,-3.365,-1.79,4.081,4.407,3.926,5.434,6.77,2.946,0.3457,1.761,1.379,1.328,0.5997,0.1549,-0.3222,0.3988,1.359,-1.563,1.351,-1.841,-2.352,-0.01955,-0.4828,-0.3498,-1.472,-3.294,-5.947,-7.9,-12.34,-5.538,7.466
895.3,1053,884.4,768.2,713.9,47.2,41.22,53.63,45.45,47.15,0.5236,50.83,82.4,124.7,180.7,219.9,2.466,0.9707,0.9753,1.323,2.392,2.891,2.031,1.26,0.8352,0.5799,16.42,36.61,24.87,19.34,14.67,36.94,25.15,19.33,14.46,5.27,9.414,-9.607,-6.945,-4.016,-1.639,4.537,4.79,2.926,4.064,5.451,2.145,0.6596,2.414,1.637,1.814,1.147,0.7216,0.5834,1.273,2.016,-1.163,1.527,-1.712,-2.391,0.2647,-0.1001,0.01039,-0.9348,-3.137,-6.105,-8.42,-12.92,-6.353,7.384
888.9,1053,880.4,770.2,706.6,47.27,41.25,53.64,45.43,48.6,0.5645,50.91,81.95,124.7,181.4,220.1,2.472,0.967,0.9732,1.321,2.399,2.879,2.02,1.253,0.8332,0.5788,16.45,36.02,24.82,19.21,14.19,36.56,25.18,19.45,14.29,5.336,8.394,-10.99,-7.989,-5.051,-1.955,4.093,3.592,1.331,2.142,4.051,1.415,0.5639,2.505,1.951,2.583,1.862,1.332,1.629,1.776,2.715,-1.001,1.969,-0.944,-1.72,0.2359,-0.1284,0.1079,-0.799,-2.946,-6.219,-8.583,-13.39,-6.827,7.647
