V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V27,V28,V29,V30,V31,V37,V38,V39,V40,V41,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95
924.1,989.6,841,833.6,12.44,48.42,40.95,45.43,44.47,89.71,33.78,120.9,197.9,299.3,431.6,19.97,2.307,1.027,1.011,0.9251,15.99,2.881,2.01,1.246,0.8303,0.5746,15.59,34.1,23.56,16.91,0.7871,33.77,23.45,16.84,11.88,0.8879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914.3,992.9,845.1,833.5,12.43,48.37,41.1,45.41,44.35,89.73,33.76,120.7,197.7,300.3,434.1,19.98,2.305,1.026,1.009,0.9245,15.99,2.877,2.01,1.253,0.8307,0.5757,15.73,34.12,23.39,16.93,3.139,34.23,23.32,16.81,11.78,3.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919.1,995.4,842.9,835.7,12.64,48.38,40.92,45.39,44.42,89.73,33.74,120.3,198,299.5,434,19.97,2.305,1.027,1.009,0.9255,15.99,2.885,2.031,1.26,0.8351,0.5787,15.62,34.12,23.56,16.92,5.497,34.21,23.56,16.93,11.75,5.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868.1,1030,879.2,0,12.28,46.54,41.08,47.06,0,89.73,33.8,51.55,84.17,124.2,0,15.48,2.424,0.9439,0.9211,0,15.99,2.82,2.008,1.253,0.8376,0,16.11,37.07,25.73,0,5.115,36.65,25.39,19.6,0,5.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874.6,1040,893,12.57,12.78,46.27,41.16,47.34,89.72,89.72,33.75,51.11,84.34,112.9,19.96,19.97,2.41,0.924,0.8999,16,15.99,2.848,2.055,1.264,0.8427,0.3273,15.93,37.43,26.05,3.448,4.952,37.17,25.59,19.81,3.065,5.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863.2,1021,0,101.8,213.7,46.19,41.11,0,84.74,80.17,30.69,51.04,84.39,0,18.82,15.29,2.425,0.9587,0,14.37,12.48,2.817,2.036,1.248,0,0.5105,15.93,36.61,0,7.272,5.248,36.02,25.48,0,5.404,5.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874.1,1025,948.6,470.3,747.4,46.44,41.08,54.78,63.66,48.84,21.69,51.2,84.39,19.99,16.23,19.94,2.416,0.9493,0.8748,7.609,2.36,2.831,2.028,1.245,0.9857,0.7341,15.95,36.82,24.15,13.08,15.43,37.12,25.59,1.525,5.081,5.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868.8,1032,945.1,812.1,731.1,46.49,41.1,54.88,42.72,47.11,21.69,51.5,84.16,19.99,19.08,16.16,2.422,0.9423,0.8748,1.234,2.361,2.824,2.015,1.256,0.9828,0.7284,16.09,37.16,24.14,19.09,15.38,36.74,25.33,3.438,5.006,5.307,-9.833,-17.28,-21.13,-14.65,-6.52,2.325,6.064,10.01,9.245,12.47,7.667,0.9174,-2.007,-0.7172,0.5563,1.358,-2.753,2.066,9.299,8.763,4.55,2.652,3.818,4.178,2.892,4.01,6.292,5.163,-2.168,-6.602,-11.17,-17.01,-16.4,-16.42
873.3,1039,941.2,809.5,732.9,46.25,41.15,54.52,42.31,46.76,21.66,51.17,84.32,19.96,15.65,52.33,2.411,0.9262,0.8748,1.234,2.345,2.846,2.053,1.264,0.4128,0.3637,15.95,37.41,24.18,19.4,16.64,37.18,25.55,5.226,5.212,5.307,-18.56,-30.45,-30.43,-22.27,-8.977,3.264,11.42,14.95,14.35,15.45,8.972,2.683,-1.221,0.2309,3.041,2.579,0.2685,1.661,7.901,7.835,5.493,4.816,3.528,5.444,5.068,7.09,9.944,8.628,-0.657,-6.78,-14.79,-22.37,-21.53,-19.82
887.4,1052,954.5,808.3,769.4,46.5,41.22,54.88,42.42,48.02,21.75,50.77,84.44,15.8,17.81,100.3,2.397,0.9085,0.8746,1.235,2.247,2.869,2.07,1.267,0.5894,0.3151,15.84,37.47,23.86,19.08,16.27,37.02,25.42,9.783,15.43,5.157,-12.97,-28.53,-28.22,-20.88,-6.53,6.007,12.89,14.17,14.65,15.92,8.035,-0.1652,-0.1458,-1.053,0.7363,3.449,2.204,-1.137,4.115,5.934,3.321,3.364,3.511,4.222,4.92,8.452,9.865,8.241,0.6899,-5.59,-13.41,-20.73,-17.71,-14.02
928.3,0,955.1,806.1,772.4,47.82,0,55.05,42.24,46.93,23.3,51.29,0,15.65,14.81,129.3,2.305,0,0.8747,1.234,2.215,2.887,2.033,0,0.9202,0.8106,15.91,0,24.21,19.76,15.65,37.47,0,15.87,15.38,5.174,-1.03,-22.07,-23,-18.42,-5.545,4.462,10.48,10.93,10.56,10.82,3.009,-4.34,-0.7683,0.5409,-0.3241,2.897,2.627,0.8606,5.292,4.483,5.026,2.615,1.381,2.826,3.871,8.18,8.684,7.945,0.3282,-5.697,-12.94,-20.42,-14.06,-5.333
929.9,1057,953.7,847.2,756.7,48.03,41.23,55.02,43.17,41.84,25.57,51.63,15.5,14.89,51.84,154.8,2.282,0.983,0.8748,1.065,2.181,2.877,2.019,1.196,1.029,0.7567,15.99,34.85,24.41,24.51,16.2,36.79,24.15,19.22,16.58,5.144,2.974,-20.22,-20.06,-14.97,-3.244,6.359,8.517,3.612,2.823,3.291,-1.059,-3.833,-0.6458,3.015,0.6582,2.98,5.21,3.269,5.812,4.873,6.253,5.038,-1.263,1.809,1.874,6.451,8.942,7.677,-1.19,-7.264,-14.15,-21.31,-13.82,-0.5153
869.8,1058,955,915.1,757.1,46.2,41.24,55.03,48.16,37.5,26.87,51.17,15.52,13.37,88.61,177.1,2.419,0.983,0.8749,0.857,2.146,2.831,2.032,0.8737,0.7098,0.5751,15.94,34.66,24.19,20.65,16.35,36.53,24.14,19.33,16.15,5.302,7.493,-15.71,-14.72,-8.64,0.427,7.076,5.39,-0.8553,-1.211,2.624,-0.01173,-3.627,0.6778,1.546,-0.3776,-2.154,3.179,5.187,0.8378,2.874,3.478,3.93,0.9233,2.824,0.5029,3.126,5.557,4.775,-0.9924,-4.365,-11.08,-16.52,-8.83,7.393
873.3,1052,951.1,905.3,804.3,46.46,41.29,55.04,49.22,37.82,25.15,51.26,15.41,14.17,112.4,196.2,2.417,0.983,0.8748,0.8721,2.034,2.829,2.025,0.5705,0.2664,0.1575,15.97,34.7,24.31,19.52,16.8,37.06,24.19,19.25,15.78,5.032,14.04,-9.218,-8.204,-3.214,3.147,8.113,5.032,-1.075,-0.6316,3.451,0.2693,-3.375,0.6715,-0.431,-2.531,-4.111,0.9166,2.949,-2.217,0.2646,-0.0517,1.109,0.4102,2.42,-0.4092,1.318,2.969,2.616,-0.4056,-1.916,-6.998,-11.49,-3.309,13.57
869,1046,949.4,884,820.5,46.47,41.18,54.91,48.84,42.42,23.02,51.48,12.22,15.36,133,215.7,2.421,0.9829,0.8639,0.8896,1.956,2.826,2.018,1.068,0.9311,0.6272,16.08,34.92,25.67,19.4,16.22,36.78,23.88,20.63,16.24,5.038,23.64,-2.558,-3.753,-1.371,2.351,6.864,4.125,-1.474,-0.7485,3.284,0.006635,-3.44,0.2983,-1.767,-3.29,-4.483,-1.197,0.5669,-3.707,-1.873,-2.543,0.7311,-0.7608,1.776,0.2614,0.8676,1.643,1.061,-1.784,-3.634,-6.48,-10.08,2.029,25.1
876.2,1046,951.3,859.5,819.3,46.29,41.16,54.79,47.52,47.55,21.18,51.04,11.54,42.9,149,234.7,2.408,0.983,0.7762,0.9018,1.9,2.852,2.058,1.367,0.9162,0.6638,15.91,34.6,28.06,19.37,16.08,37.16,24.14,23.65,16.52,5.218,27.87,-1.217,-4.494,-4.617,-2.473,3.312,1.512,-2.252,-0.3283,4.18,1.151,-1.984,1.455,-1.253,-1.891,-3.544,-1.052,0.8322,-2.946,-1.696,-3.641,1.355,-0.9421,2.213,0.8806,0.3487,1.418,0.676,-2.318,-5.225,-7.521,-11.6,0.4409,25.3
887.6,1044,963.4,855.2,829.4,46.51,41.18,55.6,46.57,51.29,19.16,50.77,11.82,64.73,159.2,250.8,2.397,0.983,0.7343,0.9087,1.866,2.869,2.07,1.371,0.9163,0.6414,15.84,34.32,24.83,19.17,15.5,37.01,24.5,20.42,16.59,5.086,29.76,0.7957,-4.943,-6.949,-5.663,0.66,-0.3774,-2.839,-0.4275,3.563,0.8077,-1.787,1.597,-0.809,-0.9593,-2.434,-0.5299,0.6621,-3.069,-1.154,-3.066,2.138,-1.403,2.274,3.03,1.847,2.34,1.276,-2.519,-6.805,-8.727,-12.49,-0.8745,24.81
0,1033,952,848,829.4,0,41.13,55.65,46,55.32,17.87,0,10.07,79.17,169.5,263.7,0,0.9829,0.7484,0.9174,1.86,0,0,1.346,0.9107,0.637,0,34.74,24.38,19.1,15.3,0,24.31,19.51,16.2,5.144,28.45,1.049,-5.676,-7.404,-6.419,-0.6495,-2.824,-5.469,-2.507,1.769,-0.2419,-1.644,3.279,0.7976,0.6946,-0.7003,1.405,3.029,-0.8031,-0.3921,-2.263,2.775,-0.9691,1.745,0.3594,-1.693,-0.9668,-1.915,-3.537,-5.756,-8.909,-13.04,-1.836,23.54
0,1028,946.1,846.2,835.7,0,41.12,55.24,45.44,58.19,16.46,0,10.18,91.79,179.2,276.5,0,0.983,0.7692,0.9218,1.846,0,0,1.341,0.9035,0.6293,0,34.77,24.34,19.01,14.81,0,24.18,19.4,16.09,5.107,26.9,-1.211,-9.048,-10.61,-9.179,-1.824,-3.082,-5.088,-2.154,1.741,-0.364,-1.486,3.571,1.143,1.859,0.2965,2.308,4.06,0.02836,0.6142,-0.9369,3.652,0.04674,3.095,0.9432,-0.6108,0.1631,-1.901,-3.259,-6.709,-11.76,-15.59,-4.11,20.6
1006,1030,935.8,846,829.1,51.06,41.13,54.92,45.46,60.86,14.55,10.4,10.5,102.4,189.9,289.3,1.972,0.983,0.7934,0.9285,1.849,2.905,1.926,1.343,0.8942,0.6252,15.14,34.71,24.33,19.01,14.77,34.91,24.33,19.45,15.56,5.18,25.33,-2.567,-11.05,-12.41,-10.85,-3.255,-5.327,-7.044,-3.788,0.109,-0.07054,-0.4412,4.393,1.622,2.558,0.502,3.23,4.778,1.247,1.985,0.07983,6.514,2.677,3.015,-0.003026,-1.003,-0.5035,-2.041,-3.704,-8.134,-13.35,-17.36,-5.566,18.35
